Month,Year,Region,Volume,Type,LogVolume
Jul,2017,SanDiego,2508821.28,conventional,6.39946972473656
Aug,2016,Chicago,2520572.34,conventional,6.40149916613124
Nov,2015,Boston,2525915.19,conventional,6.40241876461466
Dec,2017,Boston,2526454.97,conventional,6.40251156204197
Dec,2016,SanFrancisco,2531831.31,conventional,6.40343476628343
Mar,2016,Boston,2536506.9,conventional,6.40423604805608
Feb,2018,Sacramento,2536741.99,conventional,6.40427629772332
Aug,2015,Seattle,2538919.99,conventional,6.40464901499385
Apr,2019,Portland,2541944.86,conventional,6.40516612558169
Jun,2016,Boston,2544478.09,conventional,6.40559871560111
Jan,2017,Sacramento,2549028.96,conventional,6.40637476959902
Mar,2017,SanFrancisco,2550183.75,conventional,6.40657147405591
Jan,2015,TotalUS,2551927.89,organic,6.40686839833378
May,2016,NorthernNewEngland,2552063.42,conventional,6.4068914626094
Oct,2017,MiamiFtLauderdale,2560847.14,conventional,6.4083836556899
Dec,2016,Portland,2565698.51,conventional,6.4092056219781
Aug,2016,Portland,2572299.01,conventional,6.41032145058392
Sep,2016,Portland,2582401.22,conventional,6.41202371821513
Jan,2018,Atlanta,2583563.57,conventional,6.4122191520673
Jun,2015,TotalUS,2584686.93,organic,6.41240794673075
Aug,2015,SanDiego,2595883.31,conventional,6.41428516618607
May,2016,Philadelphia,2596188.2,conventional,6.41433617166413
Jun,2016,Atlanta,2599211.53,conventional,6.41484162485442
Feb,2018,Boston,2602536.66,conventional,6.41539685580931
Oct,2015,WestTexNewMexico,2604911.52,conventional,6.41579297637706
Feb,2017,SanDiego,2607282.22,conventional,6.41618804304211
Dec,2016,Chicago,2607476.26,conventional,6.41622036304375
Jul,2017,Atlanta,2608400.04,conventional,6.41637419819536
Feb,2019,Northern New England,2611936.47,conventional,6.41696260940856
Apr,2017,Atlanta,2616081.98,conventional,6.41765134932492
May,2016,Tampa,2617164.41,conventional,6.4178310058317
Mar,2017,Denver,2622103.8,conventional,6.41864987990743
Dec,2017,Atlanta,2627013.37,conventional,6.41946228310295
Mar,2019,South Carolina,2628054.55,conventional,6.41963437554456
Aug,2017,Chicago,2631924.62,conventional,6.42027344664904
Jan,2019,Tampa,2632001.2,conventional,6.42028608294848
Feb,2019,Orlando,2633378.31,conventional,6.42051325414724
Feb,2016,Boston,2637119.37,conventional,6.42112978870848
Dec,2015,SanFrancisco,2640296.83,conventional,6.42165275428819
Jun,2016,MiamiFtLauderdale,2641689.29,conventional,6.42188173546858
Jul,2016,Boston,2641852.63,conventional,6.42190858778159
Mar,2019,Sacramento,2641909.36,conventional,6.4219179135332
May,2015,Atlanta,2643449.02,conventional,6.42217093927445
Mar,2018,Atlanta,2645467.84,conventional,6.42250248633852
Dec,2017,Portland,2655779.69,conventional,6.42419204532484
Dec,2017,SanDiego,2657836.54,conventional,6.42452826781855
Mar,2018,Boston,2657919.45,conventional,6.42454181522575
Sep,2017,SanFrancisco,2658566.22,conventional,6.42464748226254
Nov,2017,BaltimoreWashington,2669620.07,conventional,6.42644945865179
Oct,2017,Chicago,2671504.92,conventional,6.42675597834183
Sep,2017,BaltimoreWashington,2672608.93,conventional,6.4269354151844
Apr,2019,Chicago,2677396.02,conventional,6.42771261346576
Nov,2016,WestTexNewMexico,2678687.18,conventional,6.42792199918782
Mar,2017,Chicago,2681940.96,conventional,6.42844921310229
Feb,2017,Boston,2683540.1,conventional,6.42870808931137
Dec,2015,Chicago,2684428.46,conventional,6.42885183450852
Mar,2018,Portland,2685916.13,conventional,6.42909244733237
Feb,2016,SanDiego,2690966.75,conventional,6.42990833158734
Jul,2015,SanFrancisco,2694201.84,conventional,6.43043012840057
Dec,2015,WestTexNewMexico,2695563.48,conventional,6.43064956383636
Aug,2017,SanFrancisco,2706648.43,conventional,6.43243184837236
Jun,2017,Seattle,2721832.41,conventional,6.4348613810977
Feb,2019,Seattle,2728340.91,conventional,6.43589863507593
Dec,2015,Denver,2734347.33,conventional,6.43685367991782
Aug,2017,BaltimoreWashington,2738404.73,conventional,6.43749763627995
Jan,2016,MiamiFtLauderdale,2739638.36,conventional,6.43769323850577
Jul,2017,MiamiFtLauderdale,2749217.82,conventional,6.43920915027506
Feb,2017,Atlanta,2749492.3,conventional,6.43925250777051
May,2017,MiamiFtLauderdale,2756510.32,conventional,6.44035962275785
